loss,loss_prime,train_acc,test_acc
9144.76424845476,3875883786.443865,69.125,70.1
6992.2947697029595,1273340439.989291,77.8125,78.8
6252.941187019836,285703121.2608253,81.7375,81.69999999999999
6298.351325558507,378763065.3740174,82.25,82.25
6290.376538806816,384545738.07015234,82.36250000000001,82.39999999999999
6260.015427410478,348859844.47442865,82.8125,82.75
6314.973806696796,411667339.9511687,82.625,82.5
6255.144794518705,324915000.8291636,82.78750000000001,82.6
6252.749502958333,329005364.123237,82.875,82.69999999999999
6242.19783313711,331522967.0049342,82.89999999999999,82.85
6231.902967912184,330951270.2330323,82.8875,82.89999999999999
6232.275270417228,332243805.70503396,82.9125,82.69999999999999
6222.012836745547,325061404.8434061,82.8875,82.75
6234.151683513742,329317329.59177107,82.7625,82.69999999999999
6234.817372033547,330443851.40594727,82.83749999999999,82.8
6232.935426151444,327450393.3026254,82.85,82.8
6233.154959327086,328564679.83454114,82.775,82.75
6233.90049434155,329009766.4140953,82.8,82.69999999999999
6233.818566213404,329637199.29907286,82.8,82.69999999999999
6232.6175250367905,328447014.40574235,82.78750000000001,82.75
6232.97217362975,328771297.606773,82.78750000000001,82.75
6232.988913209797,328808004.71320426,82.78750000000001,82.75
6233.023896127563,328893495.97112834,82.8,82.75
6233.095698623804,328942083.8794729,82.825,82.75
6233.0328621346935,328914300.527164,82.8125,82.75
6233.301107306636,328939484.34026384,82.825,82.69999999999999
6233.071234559495,328749875.9483373,82.825,82.69999999999999
6233.176137860741,328939640.2593407,82.825,82.69999999999999
