loss,loss_prime,train_acc,test_acc
6411.665321397124,449567144.5250939,81.65,81.35
6227.239308488246,321984771.1876861,83.05,81.89999999999999
6198.487860086963,312495209.03259355,83.125,82.3
6200.5328719419185,311889840.1902124,83.1125,82.1
6202.785510856248,312173908.8541638,83.05,81.89999999999999
6204.229469882701,312390062.79662114,83.0875,81.89999999999999
6204.9061004263485,312451738.6971426,83.1,81.95
6205.154141686872,312444534.55776715,83.0875,81.95
6205.22175342917,312425643.4089393,83.0875,81.95
6205.230997842687,312412411.57148105,83.0875,81.95
6205.226972970449,312405509.7366654,83.0875,81.95
6205.222396144427,312402394.3924274,83.0875,81.95
