loss,loss_prime,train_acc,test_acc
63655.65974015421,25240837090.19181,79.62125,79.745
62627.422762221504,21292559260.940536,80.9925,80.9
62320.02519472942,22220487596.271038,81.20375,81.14
62231.38948976022,22773670217.907444,81.27499999999999,81.2
62198.47841143417,22987311984.847576,81.26,81.21000000000001
62183.056685518095,23077407557.14848,81.22375,81.22500000000001
62175.09763764,23120657154.47351,81.22,81.245
62171.03557184732,23142657901.555855,81.23125,81.24
62168.96338516042,23153788665.514904,81.22875,81.23
62167.900191286884,23159419013.51768,81.22749999999999,81.22500000000001
62167.35359722655,23162303050.250835,81.22875,81.22500000000001
62167.070819932545,23163787488.577183,81.22875,81.22500000000001
62166.92421566547,23164557345.316086,81.23125,81.22
62166.84795241194,23164959378.288113,81.23125,81.22
