loss,loss_prime,train_acc,test_acc
79424.2522152737,2703608072864.594,54.971250000000005,54.095000000000006
69991.35435295942,2223332305376.618,77.1125,76.55999999999999
67199.76316260715,8700360820320.948,76.16875,76.325
62578.88539544189,511910304551.5115,80.2025,80.47999999999999
62261.10906815928,476704359843.3057,80.2525,80.52
61289.80701191348,406413570674.1086,81.285,81.605
59468.03592552786,313623727315.32153,83.15125,83.52000000000001
59097.52035844004,295696487940.5044,83.53625,83.69
58985.88779876329,291866079666.9473,83.63625,83.55
59031.503782068314,292658733228.4853,83.6125,83.545
59003.38931754508,291406185006.16327,83.63625,83.585
58997.23063812548,296062126204.5076,83.65125,83.57
58994.53479415995,287992486604.7541,83.65125,83.57
58997.24784973235,291646425167.9514,83.655,83.58
59001.19297008967,293974054635.57196,83.665,83.57
59001.918782601926,291547893088.6338,83.68124999999999,83.60499999999999
59004.72869514639,292992222528.3721,83.67625,83.58
59003.76511759091,292664442139.0287,83.66875,83.57
59000.25785741533,291756464702.4873,83.6575,83.575
58992.80588193077,290519609774.16907,83.665,83.575
58978.704752159414,289185174305.50604,83.66624999999999,83.56
58965.2620332635,288229327964.2867,83.6825,83.57
58950.54898814059,288495131399.26996,83.68124999999999,83.63000000000001
58941.91103542406,281405090784.4349,83.665,83.61
58944.62146980395,282351467850.05945,83.65875,83.53
58953.27371785318,290319780341.3436,83.67375,83.44
58958.831969230574,296578691395.1083,83.71125,83.49
58959.04072660996,313956685139.166,83.72,83.395
58950.18533561894,301012818080.0819,83.71,83.435
58936.7083899106,295803881451.7527,83.7175,83.46000000000001
58917.44722069394,291544390861.5366,83.72874999999999,83.48
58888.69101216249,287237316052.8469,83.745,83.46000000000001
58872.124497291,285769068207.25494,83.75,83.52000000000001
58822.172279981714,292486121617.12885,83.78125,83.48
58822.3547873236,282819901338.27014,83.7775,83.49
58838.508147512584,286752890264.97455,83.78375,83.53
58854.8069724827,291863340161.69604,83.765,83.47
58865.13647622235,294583590347.2175,83.75,83.47
58870.543710405254,293873525847.69495,83.76625,83.395
58871.6842464181,298796180417.17896,83.75,83.39999999999999
58865.69334635598,293747086019.1848,83.7475,83.41
58859.96723739933,290313094157.1686,83.77,83.39
58856.40276996313,288251280400.31744,83.78750000000001,83.395
58852.25194030045,285898520335.76294,83.7925,83.42
58851.475547632195,285749825564.75745,83.78375,83.42
58852.73342424298,283728829846.85474,83.79124999999999,83.43
58856.28702488103,286809439291.7935,83.76249999999999,83.44500000000001
58859.32661854815,288999761309.6813,83.76,83.44
58860.49618790648,290028558964.8843,83.75,83.465
58860.76525034585,290631685305.1549,83.75,83.46000000000001
58859.82548565609,291629145569.4668,83.7525,83.44500000000001
58858.56453463521,289932795919.4206,83.7675,83.43
58857.72803930197,290019276998.8899,83.75875,83.45
58856.93514646481,289625341285.75525,83.7575,83.44500000000001
58856.200681029004,289208201621.00977,83.75875,83.45
58855.0551297553,288558238284.77783,83.75875,83.45
58854.19444558332,288321047904.8171,83.7525,83.44
58854.52506739701,287561936031.12933,83.755,83.44
58854.73066684206,288204338342.3251,83.75125,83.43
58856.07166078383,289278726012.61194,83.74875,83.44
58857.1712131113,289854580322.7058,83.7525,83.43
58857.897611577006,289996485007.5827,83.76125,83.44500000000001
58858.89451013792,290214501208.2835,83.765,83.435
58858.81923268888,289721887907.04834,83.76375,83.44
58859.22183187079,289722079593.1982,83.7675,83.435
58858.717665384975,289500765398.3021,83.76125,83.44500000000001
58858.13300976547,289233676814.412,83.75875,83.45
58857.530223399546,289034735652.51746,83.755,83.45
58856.92604837712,289341594296.32855,83.7575,83.46000000000001
58856.689275018114,288770179520.7639,83.75625,83.46000000000001
58856.99587692778,289193163324.8065,83.755,83.455
58857.71466606791,289595780097.14996,83.75625,83.46000000000001
58857.92548502996,289612271163.64667,83.75625,83.465
58859.106574149795,289731700388.46094,83.76249999999999,83.465
58859.27932139756,289386191168.485,83.75625,83.46000000000001
58860.94710276611,289568872852.3423,83.76125,83.46000000000001
58861.365323189435,289672018412.9768,83.76125,83.46000000000001
58861.177033031614,289603107852.6975,83.76249999999999,83.455
58860.45495570613,289602437168.3861,83.76125,83.455
58859.86776371936,289290032164.3742,83.76625,83.455
58859.13003384625,290374167351.59705,83.76,83.465
58857.99327039355,289383825292.4445,83.75625,83.45
58858.42583758537,289356816078.12024,83.75625,83.44500000000001
58859.509483826965,290456513934.4385,83.76249999999999,83.455
58859.378043227814,290079085597.1944,83.76125,83.45
58860.19961543553,289439959785.96423,83.755,83.45
58861.4654478684,289650024271.7131,83.75125,83.44500000000001
58863.11271023233,288881941770.1028,83.7575,83.44
58862.93675646106,289581499788.23126,83.75625,83.44
58862.94002514604,289741071764.30615,83.755,83.435
58862.91723029441,289975469791.662,83.755,83.435
58862.632933753615,290211562921.1279,83.7575,83.44
58861.581084897116,290365351347.6825,83.76125,83.44
58859.24790469848,291433448662.3407,83.76125,83.44500000000001
58857.159926887165,288583101691.1465,83.76125,83.45
58858.32086917424,289518984012.7678,83.76249999999999,83.44500000000001
58858.50027391679,289512949573.2554,83.76375,83.44
58857.8670715565,289207409477.5608,83.76,83.45
58857.317018972506,289150932208.49054,83.7575,83.455
58856.54683090123,288542306390.26636,83.76375,83.44
58856.178787936085,288735881153.1375,83.765,83.44500000000001
58855.987304104965,289055108233.7411,83.765,83.455
58856.147776794875,289465166611.2238,83.7675,83.465
58856.84510835762,289963408150.02747,83.76249999999999,83.46000000000001
58858.50559920909,289351031320.7676,83.765,83.46000000000001
58859.32888831664,290302966489.8342,83.76875,83.46000000000001
58859.783398034175,289900797288.1911,83.7675,83.46000000000001
58860.11896664504,289538326473.44666,83.76249999999999,83.44500000000001
58860.24688036608,289317976933.5578,83.765,83.44500000000001
58860.134774319056,289096667013.9151,83.76875,83.455
58860.37399366593,289803799577.8618,83.75625,83.455
58859.29587449251,289587701942.24475,83.76249999999999,83.455
58856.57893838301,289302176371.48956,83.76375,83.45
58854.203563667645,289463564054.70624,83.765,83.45
58848.51979833223,288885280392.5414,83.77125,83.45
58850.14208885182,289190250872.9916,83.76375,83.475
58852.205751104135,290001356131.99023,83.765,83.48
58852.40572692932,289278829381.1552,83.77375,83.465
58853.02601976678,289414233848.33826,83.77250000000001,83.475
58855.849193691196,290019721172.01855,83.77,83.46000000000001
58858.35962104983,289178017533.2334,83.77375,83.455
58858.752633063836,290278102392.7654,83.77624999999999,83.465
58858.038884899695,289663111607.36,83.7775,83.465
58857.66221743366,289422634952.5762,83.775,83.47
58856.82996511766,288954571695.429,83.78,83.46000000000001
58856.54058619135,288798840638.8684,83.7775,83.455
58857.47306926478,288975409392.1708,83.77624999999999,83.44
58856.296794476926,289125475363.51306,83.7775,83.44500000000001
58859.58825163078,289893345490.81165,83.77250000000001,83.43
58859.69867693007,289560681283.32855,83.7775,83.43
58859.42733287967,289615910582.64185,83.77250000000001,83.435
58859.89895128509,289196680209.3901,83.77875,83.435
58858.97416478772,289346861061.3346,83.7825,83.44
58858.02282201675,289149974582.0049,83.785,83.435
58858.294822039374,289551079040.5194,83.78375,83.44
58858.252514341766,289462768863.7122,83.78,83.44
58858.30975195024,289409312554.2353,83.77875,83.44
58858.860680633916,289337231808.26166,83.77624999999999,83.43
58859.16899375531,289388536283.6495,83.775,83.435
58858.90804986819,289377714085.2948,83.77875,83.435
58858.9031085825,289435715978.0435,83.77875,83.435
