loss,loss_prime,train_acc,test_acc
60919.23906492574,357333109046.389,81.55875,81.36
59044.6498637831,300865179271.43805,83.44,82.96
58871.823172328244,298218695710.99817,83.69625,83.22
58860.49109762238,296370671120.1534,83.76,83.31
58858.66406999116,294961781548.87146,83.78375,83.33
58858.2103419589,294068800483.86487,83.785,83.36
58858.24607068352,293549451480.47046,83.77250000000001,83.38499999999999
58858.22146148389,293257759382.1357,83.76,83.395
58858.07958994101,293095743873.8949,83.76125,83.39
58857.915929260955,293007376093.8131,83.76875,83.39
58857.78360403704,292960106090.8733,83.76375,83.38499999999999
58857.69247639261,292935271951.60486,83.76375,83.38499999999999
58857.634918371245,292922329278.1655,83.76249999999999,83.38499999999999
58857.60037501548,292915637093.84985,83.76125,83.38499999999999
